City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5882953,Aklavik,CA,68.2191,-135.0107,-20.2,69,75,3.44
909887,Luangwa,ZM,-15.6167,30.4167,91.69,22,35,5.26
4023117,Dolores Hidalgo Cuna de la Independencia Nacional,MX,21.1561,-100.9308,60.87,34,48,3.44
2170430,Cootamundra,AU,-34.65,148.0333,53.94,72,100,18.34
2037485,Erenhot,CN,43.6475,111.9767,22.95,57,0,4.21
3459352,Ladário,BR,-19.0047,-57.6017,95.29,46,20,11.5
2264557,Ponta do Sol,PT,32.6667,-17.1,68.18,67,26,3.2
1529376,Korla,CN,41.7597,86.1469,31.84,47,100,2.1
2180815,Tuatapere,NZ,-46.1333,167.6833,42.82,86,96,3.74
368246,Raja,SS,8.4596,25.678,85.23,23,79,5.08
2171099,Codrington,AU,-38.2667,141.9667,45.52,86,19,7.36
2156927,Moree,AU,-29.4667,149.85,64.42,72,100,8.05
5367788,Lompoc,US,34.6391,-120.4579,60.42,74,0,18.99
5848280,Kapaa,US,22.0752,-159.319,65.12,59,96,12.84
2729907,Longyearbyen,SJ,78.2186,15.6401,-2.16,94,45,3.71
5991888,Killam,CA,52.7834,-111.8518,-6.2,77,86,9.22
359783,Assiut,EG,27.181,31.1837,62.78,45,98,7.92
2206939,Bluff,NZ,-46.6,168.3333,42.8,61,87,10.87
4031637,Lavrentiya,RU,65.5833,-171.0,30.61,99,100,18.23
3355624,Maltahöhe,NA,-24.8333,16.9833,76.8,12,0,16.13
3369157,Cape Town,ZA,-33.9258,18.4232,62.53,88,75,5.01
6201424,Mataura,NZ,-46.1927,168.8643,42.48,98,98,1.57
2126123,Chokurdakh,RU,70.6333,147.9167,-42.3,100,60,4.85
3883457,Lebu,CL,-37.6167,-73.65,64.15,60,0,16.62
4004293,Ixtapa,MX,20.7,-105.2,82.22,62,97,1.01
4030556,Rikitea,PF,-23.1203,-134.9692,75.38,75,71,7.78
1260232,Partāpur,IN,23.6,74.1667,73.22,49,31,3.44
2075265,Busselton,AU,-33.65,115.3333,61.05,82,0,15.68
2163355,Hobart,AU,-42.8794,147.3294,51.22,61,10,10.36
1015776,Bredasdorp,ZA,-34.5322,20.0403,64.27,89,83,7.05
5746545,Portland,US,45.5234,-122.6762,38.01,90,100,1.01
6165406,Thompson,CA,55.7435,-97.8558,-25.44,75,20,3.44
3366880,Hermanus,ZA,-34.4187,19.2345,64.8,94,92,12.17
3874787,Punta Arenas,CL,-53.15,-70.9167,55.51,47,20,25.32
3466704,Castro,BR,-24.7911,-50.0119,82.72,40,37,3.85
546105,Nikolskoye,RU,59.7035,30.7861,1.29,96,24,5.17
3833367,Ushuaia,AR,-54.8,-68.3,47.86,66,75,23.02
347634,Ţahţā,EG,26.7693,31.5021,62.92,40,100,4.07
986717,Kruisfontein,ZA,-34.0033,24.7314,69.89,91,80,0.98
2063036,Port Lincoln,AU,-34.7333,135.8667,57.49,83,36,5.75
189741,Lamu,KE,-2.2717,40.902,80.17,75,99,10.51
2012938,Yerofey Pavlovich,RU,53.9667,121.9667,7.39,87,93,5.35
2017155,Saskylakh,RU,71.9167,114.0833,-24.0,95,100,12.53
6089245,Norman Wells,CA,65.282,-126.8329,-20.56,87,5,4.03
64814,Bandarbeyla,SO,9.4942,50.8122,77.94,61,7,17.49
6149996,Smithers,CA,54.7804,-127.1743,10.72,85,75,2.3
5563839,Fortuna,US,40.5982,-124.1573,47.25,75,90,4.0
2018553,Ol'ga,RU,43.7444,135.2892,27.82,76,1,6.71
5742974,North Bend,US,43.4065,-124.2243,43.3,98,70,6.73
6696258,Campbellton,CA,48.0075,-66.6727,18.05,54,57,11.32
2252606,Bakel,SN,14.905,-12.4568,94.89,9,97,11.36
1489853,Tazovsky,RU,67.4667,78.7,-20.6,95,25,13.67
1529660,Aksu,CN,41.1231,80.2644,32.5,41,100,3.22
3985710,Cabo San Lucas,MX,22.8909,-109.9124,80.04,74,97,4.79
3893629,Coquimbo,CL,-29.9533,-71.3436,62.33,77,75,12.66
2381972,Adrar,MR,20.5022,-10.0711,72.86,11,100,11.88
2562247,Marsaxlokk,MT,35.8419,14.5431,57.81,72,20,10.36
3115824,Muros,ES,42.7762,-9.0603,53.87,83,66,13.2
3424607,Tasiilaq,GL,65.6145,-37.6368,29.3,92,99,38.81
5855927,Hilo,US,19.7297,-155.09,69.98,98,100,8.9
2014718,Tynda,RU,55.1667,124.7167,8.04,97,100,1.54
1735106,George Town,MY,5.4112,100.3354,78.15,81,20,1.99
3388456,São José da Coroa Grande,BR,-8.8978,-35.1478,82.04,74,43,11.3
98182,Baghdad,IQ,33.3406,44.4009,53.51,50,0,4.61
1714733,Dingle,PH,10.9995,122.6711,72.18,91,80,7.74
964432,Port Alfred,ZA,-33.5906,26.891,69.8,97,100,14.92
3185728,Durrës,AL,41.3231,19.4414,53.78,75,100,23.64
3372707,Ribeira Grande,PT,38.5167,-28.7,66.6,63,40,9.22
1819729,Hong Kong,HK,22.2855,114.1577,63.3,64,24,9.22
3831208,Qaanaaq,GL,77.484,-69.3632,19.69,71,87,5.5
6167817,Torbay,CA,47.6666,-52.7314,35.31,68,40,9.22
3652764,Puerto Ayora,EC,-0.7393,-90.3518,71.56,79,73,10.27
3896924,Cañete,CL,-37.8,-73.4,75.79,38,0,9.08
1529484,Kumul,CN,42.8,93.45,30.51,48,45,5.66
558312,Gryazi,RU,52.4966,39.9359,27.68,70,21,4.45
3358416,Bethanien,NA,-26.502,17.1583,74.98,27,0,19.28
1507390,Dikson,RU,73.5069,80.5464,3.74,94,100,11.88
3628473,San Cristobal,VE,7.7669,-72.225,78.98,43,80,8.72
3839307,Rawson,AR,-43.3002,-65.1023,74.77,39,0,12.1
2070998,Geraldton,AU,-28.7667,114.6,70.21,73,0,18.41
5859699,College,US,64.8569,-147.8028,-14.49,76,55,3.85
3372964,Lagoa,PT,39.05,-27.9833,62.98,74,98,12.44
3183284,Alghero,IT,40.5589,8.3181,48.29,81,40,6.91
176555,Kawambwa,ZM,-9.7915,29.0791,72.07,59,57,5.86
244878,Biltine,TD,14.5333,20.9167,84.69,17,49,6.46
927856,Livingstonia,MW,-10.606,34.1063,72.12,62,31,4.27
5880054,Barrow,US,71.2906,-156.7887,6.17,85,100,12.08
1651103,Atambua,ID,-9.1061,124.8925,74.91,87,100,0.92
2139521,Noumea,NC,-22.2763,166.4572,80.01,99,83,11.97
3374210,São Filipe,CV,14.8961,-24.4956,77.05,70,80,8.39
2155415,New Norfolk,AU,-42.7826,147.0587,49.35,55,10,2.44
2015306,Tiksi,RU,71.6872,128.8694,-12.46,95,100,5.95
4255151,Bud,US,39.447,-86.1758,42.3,67,100,13.47
3899695,Ancud,CL,-41.8697,-73.8203,74.73,61,18,6.13
86049,Jalu,LY,29.0331,21.5482,62.13,50,0,7.09
556268,Ostrovnoy,RU,68.0531,39.5131,4.32,86,83,16.02
5866583,Saint Paul Harbor,US,57.79,-152.4072,27.91,93,90,4.61
4034551,Faanui,PF,-16.4833,-151.75,81.39,66,28,15.84
3468720,Buritizeiro,BR,-17.3511,-44.9622,85.44,51,59,3.98
6316343,Alta Floresta,BR,-9.8756,-56.0861,84.76,73,82,2.1
3480908,La Asuncion,VE,11.0333,-63.8628,83.93,74,43,17.27
2334652,Keffi,NG,8.8486,7.8736,95.38,25,67,4.5
5106841,Albany,US,42.6001,-73.9662,38.89,56,100,1.77
5122534,Jamestown,US,42.097,-79.2353,36.18,43,100,8.01
4020109,Atuona,PF,-9.8,-139.0333,78.01,77,24,19.33
3984997,San Quintín,MX,30.4833,-115.95,62.53,75,40,8.19
6355222,Yulara,AU,-25.2406,130.9889,69.64,56,0,10.36
2098329,Daru,PG,-9.0763,143.2092,78.82,83,100,1.81
3691954,Sechura,PE,-5.5569,-80.8222,78.85,55,93,11.23
763166,Olsztyn,PL,53.7799,20.4942,31.96,84,100,8.86
1267390,Kavaratti,IN,10.5669,72.642,82.08,70,33,13.04
2264923,Peniche,PT,39.3558,-9.3811,56.79,77,79,19.1
4035715,Avarua,CK,-21.2078,-159.775,78.85,89,75,5.75
496358,Severnyy,RU,50.677,36.5532,23.04,100,72,4.47
3421319,Nuuk,GL,64.1835,-51.7216,25.88,86,100,24.0
1651810,Airai,TL,-8.9266,125.4092,61.77,93,100,0.38
1927639,Yueyang,CN,29.3333,113.0919,51.39,34,0,2.06
1847947,Shingū,JP,33.7333,135.9833,50.05,86,100,4.85
1337619,Ugoofaaru,MV,5.6667,73.0,82.62,73,47,10.0
3141332,Røros,NO,62.5747,11.3842,6.64,85,40,10.36
1259385,Port Blair,IN,11.6667,92.75,79.16,70,57,10.18
1282256,Hithadhoo,MV,-0.6,73.0833,81.52,79,100,15.41
212902,Kindu,CD,-2.95,25.95,72.03,97,100,1.95
2126199,Cherskiy,RU,68.75,161.3,-46.77,100,81,5.01
2122090,Pevek,RU,69.7008,170.3133,-9.51,95,100,3.58
478532,Urzhum,RU,57.1141,49.9996,10.81,75,80,6.93
3932145,Pisco,PE,-13.7,-76.2167,69.85,83,75,11.5
3402648,Carutapera,BR,-1.195,-46.02,84.69,71,38,10.51
3378690,Catherinas Lust,GY,6.4,-57.6,81.19,75,88,7.87
933778,Francistown,BW,-21.17,27.5079,79.99,45,99,7.7
2618795,Klaksvík,FO,62.2266,-6.589,27.52,53,53,3.29
2527087,Tiznit Province,MA,29.5833,-9.5,63.57,36,34,5.59
3870243,Taltal,CL,-25.4,-70.4833,68.56,62,29,6.96
3838859,Río Gallegos,AR,-51.6226,-69.2181,62.65,25,40,21.85
3416888,Grindavik,IS,63.8424,-22.4338,39.67,93,90,54.09
3395497,Maracaçumé,BR,-2.0428,-45.9592,90.55,50,56,7.02
934322,Mahébourg,MU,-20.4081,57.7,79.09,78,40,8.05
5282297,Bethel,US,41.3712,-73.414,43.11,46,89,0.67
569497,Chelno-Vershiny,RU,54.4333,51.1,26.11,86,100,3.47
1581349,Ha Giang,VN,22.8333,104.9833,59.92,86,22,1.74
2208248,Kaitangata,NZ,-46.2817,169.8464,48.92,73,97,5.01
2181625,Te Anau,NZ,-45.4167,167.7167,42.98,97,99,4.54
1006984,East London,ZA,-33.0153,27.9116,70.74,100,40,6.91
4726521,San Patricio,US,28.017,-97.5169,78.3,66,94,15.35
6451497,Hyères,FR,43.1167,6.1167,46.63,52,0,16.11
358620,Safaga,EG,26.7292,33.9365,71.55,33,97,11.88
1516048,Khovd,MN,48.0056,91.6419,17.8,62,88,1.36
625721,Lyuban',BY,52.7985,28.0048,27.19,89,100,5.19
3423146,Ilulissat,GL,69.2167,-51.1,33.04,63,100,15.79
1258553,Rāmtek,IN,21.4,79.3333,66.96,52,0,4.27
4034496,Fare,PF,-16.7,-151.0167,80.29,73,46,17.98
3664539,Coari,BR,-4.085,-63.1414,92.34,49,77,3.29
1293625,Dawei,MM,14.0833,98.2,63.16,67,20,7.45
542024,Krasnoye-na-Volge,RU,57.5125,41.2419,-2.7,95,66,6.02
1484923,Zykovo,RU,55.9519,93.1461,30.94,74,88,12.06
3354071,Oranjemund,NA,-28.55,16.4333,64.24,86,10,11.92
3663503,Manicoré,BR,-5.8092,-61.3003,88.84,62,99,0.6
2400547,Gamba,GA,-2.65,10.0,79.83,85,86,7.81
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,40,11.5
5380420,Pacifica,US,37.6138,-122.4869,50.29,91,90,1.01
1253628,Ginda,IN,30.6945,78.4932,43.92,79,8,5.7
2022572,Khatanga,RU,71.9667,102.5,-16.87,96,100,13.98
4031574,Provideniya,RU,64.3833,-173.3,31.53,98,100,25.37
3466165,Cidreira,BR,-30.1811,-50.2056,74.34,77,65,13.42
4273299,Hutchinson,US,38.0608,-97.9298,53.11,48,5,13.76
1490256,Talnakh,RU,69.4865,88.3972,-21.8,100,100,14.34
2024626,Dzhebariki-Khaya,RU,62.2167,135.8,-4.31,99,100,3.31
2937959,Bone,DE,51.9669,12.1396,36.5,91,94,4.63
3430863,Mar del Plata,AR,-38.0023,-57.5575,62.87,86,75,8.99
4945455,Norfolk,US,42.1668,-71.2495,44.46,44,77,1.99
1507035,Dzerzhinskoye,RU,56.8344,95.2283,28.87,71,100,13.33
1337617,Muli,MV,2.9167,73.5667,83.23,72,59,16.08
704202,Krasnyy Luch,UA,48.1395,38.9371,31.98,98,100,5.88
964420,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,20,8.05
2318123,Yenagoa,NG,4.9247,6.2642,82.71,78,88,6.04
2112309,Katsuura,JP,35.1333,140.3,50.92,73,100,10.0
3608828,Iralaya,HN,15.0,-83.2333,84.29,78,10,8.25
3379316,Lethem,GY,3.3803,-59.7968,93.51,41,82,11.41
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,80.46,74,20,16.11
264371,Athens,GR,37.9795,23.7162,57.52,79,20,1.99
2120591,Tilichiki,RU,60.4667,166.1,-7.87,96,25,2.91
5850554,Makakilo City,US,21.3469,-158.0858,67.42,85,75,0.0
1503037,Kodinsk,RU,58.6881,99.1844,20.8,95,100,5.35
3391287,Prainha,BR,-1.8,-53.48,89.04,52,70,5.28
2654970,Brae,GB,60.3964,-1.353,39.11,62,92,13.15
2015352,Terney,RU,45.0503,136.6092,26.74,74,3,6.17
64013,Bosaso,SO,11.2842,49.1816,77.85,67,35,11.01
935215,Saint-Philippe,RE,-21.3585,55.7679,77.18,79,18,10.38
5546220,Saint George,US,37.1041,-113.5841,50.83,31,1,0.72
2110227,Butaritari,KI,3.0707,172.7902,82.11,80,78,15.52
3389609,Santa Inês,BR,-3.6667,-45.38,86.79,65,75,4.32
2184707,Wanaka,NZ,-44.7,169.15,44.11,89,100,4.72
2132606,Samarai,PG,-10.6167,150.6667,81.09,77,97,5.95
3361934,Saldanha,ZA,-33.0117,17.9442,69.85,86,12,8.52
5097801,Fairview,US,40.8126,-73.999,45.55,42,95,1.99
153955,Micheweni,TZ,-4.9667,39.8333,80.38,75,96,8.84
1510377,Belyy Yar,RU,53.6039,91.3903,15.85,73,0,6.71
790295,Mavrovi Anovi,MK,41.7025,20.7564,44.73,94,98,6.33
2123814,Leningradskiy,RU,69.3833,178.4167,-0.74,99,100,14.14
72181,Marzuq,YE,14.4,46.4667,64.65,44,0,1.3
2146219,Hervey Bay,AU,-25.2986,152.8535,71.02,90,16,3.0
4499379,Wilmington,US,34.2257,-77.9447,64.99,82,90,1.01
750468,Boyabat,TR,41.4689,34.7667,48.87,87,46,1.21
696478,Poroshkovo,UA,48.6683,22.7533,32.5,99,100,3.04
933995,Souillac,MU,-20.5167,57.5167,79.18,78,40,8.05
3939761,Hualmay,PE,-11.0964,-77.6139,70.03,78,100,9.31
1106643,Quatre Cocos,MU,-20.2078,57.7625,79.09,69,25,11.25
2630299,Hofn,IS,64.2539,-15.2082,28.42,100,75,5.75
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,41.72,70,100,4.61
2065594,Mount Isa,AU,-20.7333,139.5,74.97,69,47,8.05
3893726,Constitución,CL,-35.3333,-72.4167,70.79,53,3,7.2
4032243,Vaini,TO,-21.2,-175.2,75.36,94,75,10.36
523392,Naryan-Mar,RU,67.6713,53.087,15.55,87,79,9.44
877384,Tingi,TZ,-11.3,35.0333,76.77,44,88,6.8
3864331,Bell Ville,AR,-32.6259,-62.6887,83.97,40,8,6.8
1062663,Mahajanga,MG,-15.7167,46.3167,84.22,74,20,9.22
3351014,Camacupa,AO,-12.0167,17.4833,59.56,95,94,5.06
2033667,Xinqing,CN,48.2333,129.5,26.31,88,100,9.84
5354943,Half Moon Bay,US,37.4636,-122.4286,50.49,94,90,0.0
2028164,Deputatsky,RU,69.3,139.9,-19.55,95,100,1.12
6185377,Yellowknife,CA,62.456,-114.3525,-25.04,85,20,6.91
2322794,Suleja,NG,9.1758,7.1808,94.19,26,23,3.76
3622716,Nicoya,CR,10.1483,-85.452,85.55,61,8,8.14
3465038,Cuiabá,BR,-15.5961,-56.0967,91.33,58,75,6.91
1214488,Meulaboh,ID,4.1363,96.1285,77.49,85,85,2.91
